Hi.	Salut!
Tom can't speak French. Mary can't speak French either.	Tom ne sait pas parler français. Marie ne sait pas parler français non plus.
Tom died three weeks ago after being bitten by a cobra.	Tom est mort il y a trois semaines d'une morsure de cobra.
Tom found the hat Mary was looking for in the basement.	Tom trouva le chapeau que Marie cherchait au sous-sol.
Tom's family showed a video of his life at his funeral.	La famille de Tom a montré une vidéo de sa vie à son enterrement.
We need to figure out what works and what doesn't work.	Il faut que nous figurions ce qui fonctionne et ce qui ne fonctionne pas.
We're very proud of what we've been able to accomplish.	Nous sommes très fiers de ce que nous avons été capables d'accomplir.
What would you do if you saw a man from another planet?	Que feriez-vous si vous voyiez un homme venant d'une autre planète ?
Whether he wrote it or not will always remain a secret.	Qu'il l'ait écrit ou non restera toujours un secret.
You are not permitted to bring dogs into this building.	Vous n'êtes pas autorisés à amener des chiens dans ce bâtiment.
You can't just walk in here and start dictating policy.	Vous ne pouvez pas entrer ici et commencer à dicter la politique.
You must realize that prosperity does not last forever.	Tu dois comprendre que la prospérité ne dure pas éternellement.
You've done a wonderful job on the interior decoration.	Tu as fait un travail superbe sur la décoration intérieure.
A dangerous criminal has escaped from the insane asylum.	Un dangereux criminel s'est échappé de l'asile de fous.
A man's worth lies not in what he has but in what he is.	La valeur d'un homme ne réside pas dans ce qu'il a mais en ce qu'il est.
Aliens are often depicted with dark, almond-shaped eyes.	Les extra-terrestres sont souvent dépeints avec des yeux noirs en amandes.
Are you sure you did everything you were supposed to do?	Êtes-vous certains d'avoir fait tout ce que vous étiez censés faire ?
Clean out the shed and throw away things you don't need.	Nettoyez la cabane et jetez les déchets.
Do you have any idea how important your test grades are?	As-tu la moindre idée combien tes notes d'examen sont importantes ?
Even though he was exhausted, he had to go back to work.	Bien qu'il fût épuisé, il devait reprendre le travail.
Fingernails grow nearly four times faster than toenails.	Les ongles des doigts croissent environ quatre fois plus vite que ceux des pieds.
He always plans a thing out carefully before he does it.	Il planifie toujours une chose minutieusement avant de la faire.
He has dedicated his life to the preservation of nature.	Il a dédié sa vie à la préservation de l'environnement.
He often accuses her of never listening to what he says.	Il l'accuse souvent de ne jamais écouter ce qu'il dit.
He will be having dinner with her at this time tomorrow.	Il dînera avec elle à cette même heure demain.
How long does it take from here to Tokyo Station by car?	Combien de temps cela prend-il en voiture d'ici à la gare de Tokyo ?
I asked her to slowly read off the numbers on the meter.	Je lui ai demandé de relever les chiffres du compteur.
I come into contact with all kinds of people in my work.	J'entre en contact avec toutes sortes de gens dans mon travail.
I don't know who they are, but they don't look friendly.	J'ignore qui elles sont mais elles ne semblent pas amicales.
I found a French-Hebrew dictionary at a small bookstore.	J'ai trouvé un dictionnaire français-hébreu dans une petite librairie.
I have not eaten any seafood since the recent oil spill.	Je n'ai pas mangé de fruits de mer depuis la dernière marée noire.
I keep all my old pictures in the attic in a wooden box.	Je garde toutes mes vieilles photos dans une boîte en bois dans le grenier.
I never thought it'd be this hard to create an iPad app.	Je n'ai jamais pensé que ce serait si difficile de créer une application pour iPad.
I stopped at the store and got some milk on my way back.	Je me suis arrêté à l'épicerie et j'ai acheté du lait sur le chemin du retour.
I think it's time for me to discuss the matter with him.	Je pense qu'il est temps que je discute de l'affaire avec lui.
I want to eat some Korean food that isn't hot and spicy.	Je veux manger de la nourriture coréenne qui ne soit pas épicée.
I'd like to borrow about three hundred thousand dollars.	J'aimerais emprunter environ trois-cent-mille dollars.
I'm not sure what it was, but it sounded like a gunshot.	Je ne suis pas sûre de ce dont il s'agissait, mais cela fit le bruit d'une détonation.
I've never used a hacksaw before. Could you show me how?	Je n'ai jamais utilisé de scie à métaux avant. Pourriez-vous me montrer ?
If there is anything you want, don't hesitate to ask me.	S'il y a quelque chose que vous voulez, n'hésitez pas à me le demander.
If you don't want to miss the train, you'd better hurry.	Si tu ne veux pas manquer le train, tu ferais mieux de te dépêcher !
If you speak too fast, I will not be able to understand.	Si tu parles trop vite, je ne pourrai pas comprendre.
If you want this job, you must apply for it by tomorrow.	Si vous voulez cet emploi, vous devez postuler avant demain.
Is there something in particular that you want to study?	Y a-t-il quelque chose en particulier que vous veuillez étudier ?
It makes no difference to me whether she is rich or not.	Pour moi ça ne fait aucune différence qu'elle soit riche ou pas.
It wasn't possible for the boy to swim across the river.	Il était impossible pour le garçon de traverser la rivière à la nage.
It's a nice country to visit, but I wouldn't live there.	C'est un beau pays à visiter mais je n'y vivrais pas.
Let's see how the negotiations pan out before we decide.	Voyons voir comment les négociations tournent avant de décider.
Most of the food we buy in supermarkets is overpackaged.	La plupart de la nourriture que nous achetons dans les supermarchés est suremballée.
My son isn't the only one who enjoys eating her cooking.	Mon fils n'est pas le seul qui aime manger sa cuisine.
No matter where you may go, don't forget to write to me.	Où que vous puissiez aller, n'oubliez pas de m'écrire.
Please forgive me for not having written to you earlier.	Veuillez m'excuser de ne pas vous avoir écrit avant.
She advised him to catch the first train in the morning.	Elle lui conseilla de prendre le premier train du matin.
She ran across her old friend while walking in the park.	Elle rencontra par hasard sa vieille amie au cours d'une promenade dans le parc.
Some people do not like to wake up early in the morning.	Certaines personnes n'aiment pas se lever tôt le matin.
That offer sounds too good to be true. What's the catch?	Cette offre semble trop bonne pour être vraie. Où est l'arnaque ?
The best thing would be for you to do the work yourself.	La meilleure chose serait pour vous de réaliser le travail vous-même.
The grand jury decided not to indict the police officer.	Le jury d'assise a décidé de ne pas inculper l'officier de police.
The old lady lived in a three-room apartment by herself.	La vieille dame vivait seule dans un appartement de trois pièces.
The population of Shanghai is as large as that of Tokyo.	La population de Shangaï est aussi nombreuse que celle de Tokyo.
The structural integrity of the building is compromised.	L'intégrité structurelle du bâtiment est compromise.
There are a lot of abandoned houses in the neighborhood.	Il y a de nombreuses maisons abandonnées dans le voisinage.
They are negotiating to reach a satisfactory compromise.	Elles sont en train de négocier pour arriver à un compromis satisfaisant.
They will have a good laugh when they see you like this.	Elles vont bien rigoler, lorsqu'elles te verront ainsi.
This is where I brought my girlfriend on our first date.	C'est ici que j'ai emmené ma petite amie lors de notre premier rencard.
Tom asked Mary if she was really happy with her new job.	Tom a demandé à Mary si elle était vraiment heureuse de son nouveau travail.
Tom died trying to save a child from a burning building.	Tom est mort en essayant de sauver un enfant d'un bâtiment en feu.
Tom likes Boston better than any other place he's lived.	Tom apprécie Boston plus que tout autre endroit où il a vécu.
Tom still works at the same restaurant where Mary works.	Tom travaille toujours dans le même restaurant où travaille Mary.
Tom's dog left muddy paw prints all over his new carpet.	Le chien de Tom a laissé des empreintes boueuses de pattes sur toute sa nouvelle moquette.
We had lived there for ten years when the war broke out.	Nous vivions ici depuis dix ans quand la guerre éclata.
We've been out of touch with each other for a long time.	Nous n'avons plus été en contact depuis longtemps.
Which one of your guitars do you enjoy playing the most?	Avec laquelle de tes guitares est-ce que tu aimes le plus jouer ?
Would you be willing to send me a sample free of charge?	Seriez-vous disposées à m'envoyer un échantillon gratuitement ?
You can't change people. They have to change themselves.	Vous ne pouvez pas changer les gens. Ils doivent changer eux-mêmes.
You should assume that anything you do online is public.	On doit supposer que tout ce qu'on fait en ligne est public.
Could you do this instead of me? "Sorry, I'm too busy."	« Pourrais-tu le faire à ma place ? » « Désolé, je suis trop occupé. »
A bust of Aristotle stands on a pedestal in the entryway.	Un buste d'Aristote se dresse sur un piédestal dans l'entrée.
A person with a BMI of 25 to 29 is considered overweight.	Une personne dont l'indice de masse corporelle se situe entre vingt-cinq et vingt-neuf est considérée en surpoids.
All four of my son's great-grandmothers are still living.	Toutes les quatre arrière-grands-mères de mon fils sont toujours en vie.
At the start of every weekend, I am both tired and happy.	Au début de chaque weekend, je suis à la fois fatigué et joyeux.
Could you please take care of my dog while I'm in Boston?	Pourriez-vous vous occuper de mon chien pendant que je suis à Boston, s'il vous plaît ?
Do you believe our destinies are controlled by the stars?	Crois-tu que nos destins soient régis par les étoiles ?
Do you think students are given enough time to eat lunch?	Pensez-vous qu'on alloue suffisamment de temps aux étudiants pour déjeuner ?
Even Japanese can make mistakes when they speak Japanese.	Même les Japonais peuvent faire des fautes quand ils parlent japonais.
Excuse me, but could you scoot over a little bit, please?	Pouvez-vous vous déplacer un peu de côté, je vous prie ?
Has anyone ever told you you've got serious trust issues?	Quelqu'un vous a-t-il déjà dit que vous avez de sérieux problèmes de confiance ?
He is studying hard so that he can pass the examinations.	Il étudie dur pour passer les examens.
He spoke in a broken English that was hard to understand.	Il parlait en mauvais anglais qu'il était difficile de comprendre.
He won't be easily discouraged, because he's a tough guy.	Il ne se laissera pas décourager facilement, car c'est un dur à cuire.
His height is a great advantage when he plays volleyball.	Sa hauteur est un grand avantage quand il joue au volley-ball.
I can't wait for Tom to come home so I can show him this.	Vivement que Tom rentre à la maison, que je puisse lui montrer ça.
I didn't understand much of what they were talking about.	Je n'ai pas compris grand-chose de ce qu'elles discutaient.
I don't know about the others, but as for me, I'm for it.	Je ne sais pas pour les autres, mais pour ce qui me concerne, je suis pour.
I dozed off in the train and slept right past my station.	Je me suis assoupi dans le train et je dormais lors de l'arrêt à ma gare.
I have no desire to understand what goes on in your head.	Je n'ai aucun désir de comprendre ce qui se passe à l'intérieur de votre tête.
I knew we were going to get married the moment I met you.	Je savais que nous allions nous marier au moment où je t'ai rencontrée.
I needed your help on something, but I couldn't find you.	J'ai eu besoin de votre aide mais je n'ai pas pu vous trouver.
I think Tom is likely to go to Boston in the near future.	Je pense que Tom ira à Boston dans les années à venir.
I think, without a doubt, that I'll win the tennis match.	Je suis sûre de remporter le match de tennis.
I want to move out of this cramped room as soon as I can.	Je veux sortir de cette pièce confinée dès que possible.
I would like to have a look at your collection of stamps.	J’aimerais voir votre collection de timbres.
I'd like to make it clear that I will not change my mind.	Je voudrais qu'il soit clair que je ne changerai pas d'avis.
I'm having trouble with my roommate. He eats all my food.	J'ai un problème avec mon compagnon de chambre. Il mange toute ma nourriture.
If I had had a little more money, I would have bought it.	Si j'avais eu un peu plus d'argent, je l'aurais acheté.
If it weren't for music, the world would be a dull place.	Si ce n'était pour la musique, le monde serait un endroit morne.
If you flunk this exam, you'll have to repeat the course.	Si vous êtes recalé à cet examen, vous devrez redoubler.
In 1994, there was a shortage of water and rice in Japan.	En 1994, il y a eu une pénurie d'eau et de riz au Japon.
Is there something in particular that you're looking for?	Recherchez-vous quelque chose de particulier ?
It was one of the most incredible experiences of my life.	Ce fut l'une des expériences les plus incroyables de ma vie.
It's been a while since I've eaten anything with mustard.	Cela fait un moment que je n'ai rien mangé avec de la moutarde.
Let's get together the next time you come back to Boston.	Retrouvons-nous, la prochaine fois que tu viens à Boston.
My friends dropped by to see me the day before yesterday.	Avant-hier mes amis sont passés me voir un moment.
No one has the right to tell you how to raise your child.	Personne n'a le droit de vous dire comment éduquer votre enfant.
Ostriches are not known for having a good sense of humor.	Les autruches ne sont pas réputées pour leur bon sens de l'humour.
She advised him to tell his girlfriend that he loved her.	Elle lui a recommandé de dire à sa petite copine qu'il l'aimait.
She helped him tie his tie because he didn't know how to.	Elle l'aida à nouer sa cravate car il ignorait comment faire.
Since he had a bad cold, he was absent from school today.	Comme il avait un mauvais rhume, il était absent de l'école aujourd'hui.
Tell me the reason you were absent from school yesterday.	Dites-moi la raison pour laquelle vous étiez absent de l'école hier.
The bath was not hot enough and I was unable to enjoy it.	Le bain n'était pas assez chaud et je n'ai pas pu l'apprécier.
The defendant was found not guilty by reason of insanity.	L'accusée fut prononcée non coupable en raison de sa folie.
The lawyer seems to think it'll be an open and shut case.	L'avocat semble penser que ce sera une affaire rapide.
The only language that I can speak really well is French.	La seule langue que je sache vraiment bien parler, c'est le français.
The train was so crowded that I had to stand all the way.	Le train a été si bondé que j'ai dû me tenir debout durant tout le chemin.
There are three hundred applicants for only one position.	Il y a trois cents candidats pour un seul poste.
They slept in the car because they couldn't find a hotel.	Elles dormirent dans la voiture parce qu'elles ne purent trouver d'hôtel.
Thousands of people went to the beach to see the dolphin.	Des milliers de gens se rendirent à la plage pour voir le dauphin.
Tom didn't even have enough money to buy a cup of coffee.	Tom n'a même pas eu assez d'argent pour un café.
Tom doesn't know who Mary is planning on doing that with.	Tom ne sait pas avec qui Mary projette de faire ça.
Tom made a list of things he wanted to do before he died.	Tom a fait une liste de choses qu'il voulait faire avant de mourir.
Tom was very aware that every eye in the room was on him.	Tom était tout à fait conscient que tous les regards étaient tournés vers lui dans la pièce.
We have something very important that we have to discuss.	Il nous faut discuter de quelque chose de très important.
We were so tired that we turned in about 9:00 last night.	On était tellement crevés qu'on est parti vers 9 h 00 hier soir.
What has become of the book I put here a few minutes ago?	Qu'est-il advenu du livre que j'ai mis là il y a quelques instants ?
When you get to be my age, you'll understand what I mean.	Lorsque vous atteindrez mon âge, vous comprendrez ce que je veux dire.
Would it be ethical to sacrifice one person to save many?	Serait-il moral de sacrifier une personne pour en sauver plusieurs ?
You had better turn off the light before you go to sleep.	Vous devriez éteindre la lumière avant d'aller dormir.
You never get a second chance to make a first impression.	Tu n'as jamais une seconde occasion de faire une première impression.
You're a good student, but you still have a lot to learn.	Vous êtes un bon élève, mais vous avez encore beaucoup à apprendre.
When did you buy it? "Let's see. I bought it last week."	« Quand l'as-tu acheté ? » « Voyons voir... La semaine dernière. »
A passing car hit a puddle and splashed water all over me.	Une voiture qui passait sur une flaque m'éclaboussa de l'eau des pieds à la tête.
Am I the only one who didn't understand what was going on?	Suis-je la seule qui n'aie pas compris ce qui était en train de se passer ?
As soon as I can get the chance, I'll send you some money.	Dès que je peux avoir l'occasion, je t'enverrai de l'argent.
Clerks with sticky fingers won't keep their jobs for long.	Les employés qui fauchent ne vont pas garder leurs emplois très longtemps.
Do you really need to ask the question to know the answer?	As-tu vraiment besoin de poser la question pour connaître la réponse ?
Don't worry about what needs to be done and get some rest.	Ne t'inquiète pas pour ce qu'il y a à faire et va te reposer un peu.
France is running a welfare state it can no longer afford.	La France entretient un État providence dont elle n'a plus les moyens.
He failed in the attempt to sail across the Pacific Ocean.	Il a échoué dans la tentative de traverser l'océan pacifique.
He makes it a point to remember each one of our birthdays.	Il insiste pour se souvenir de chacun de nos anniversaires.
He tried getting closer to her using every possible means.	Il tenta de s'approcher d'elle en utilisant tous les moyens possibles.
How many times a week do you go shopping at a supermarket?	Combien de fois par semaine vas-tu faire les courses dans un supermarché ?
I don't care where we eat dinner. It's entirely up to you.	Où nous déjeunons m'est indifférent. Je m'en remets complètement à toi.
I forgot to turn off the television before going to sleep.	J'ai oublié d'éteindre la télévision avant d'aller dormir.
I had to abstain from smoking while I was in the hospital.	J'ai dû m'abstenir de fumer pendant que j'étais à l'hôpital.
I knew things about Tom that even his parents didn't know.	Je savais des choses à propos de Tom que même ses parents ne savaient pas.
I look forward to seeing you on my next trip to your city.	Je suis impatiente de vous voir lors de mon prochain voyage dans votre ville.
I remember being on a ship when I was only five years old.	Je me souviens avoir été sur un bateau lorsque je n'avais que cinq ans.
I think skateboards are usually cheaper than rollerblades.	Je pense que les planches à roulettes sont habituellement moins chères que les patins en ligne.
I used to think it didn't really matter what I fed my dog.	Je pensais que ce que je donnais à manger à mon chien n'avait pas vraiment d'importance.
I wish I could explain to you how important this is to me.	J'aimerais pouvoir t'expliquer à quel point c'est important pour moi.
I'd like this meeting to last no more than twenty minutes.	J'aimerais que cette rencontre ne dure pas plus de vingt minutes.
I'm really impressed with the way Tom plays the saxophone.	Je suis vraiment impressionnée par la façon dont Tom joue du saxophone.
If I were rich, I would do so. As it is, I can do nothing.	Si j'étais riche, je le ferais. Au point où j'en suis, je ne peux rien faire.
If you're going to apologize, you should do it right away.	Si vous allez présenter vos excuses, vous devriez le faire sans délai.
It goes without saying that smoking is bad for the health.	Il va sans dire que fumer est mauvais pour la santé.
It's easier to ask for forgiveness than to get permission.	Il est plus facile de demander pardon que d'obtenir une permission.
Just because you can do something doesn't mean you should.	Ce n'est pas parce que tu peux faire quelque chose que tu devrais le faire.
Mary doesn't dance much now, but I know she used to a lot.	Marie ne dance plus beaucoup maintenant, mais je sais qu'il fut un temps où c'était le cas.
My grandfather sometimes talks to himself when he's alone.	Mon grand-père se parle parfois à lui-même lorsqu'il est seul.
No one knows when such a custom first came into existence.	Personne ne sait quand une telle coutume est apparue.
One day, they're going to take away your driver's license.	Un jour, ils vont te prendre ton permis de conduire.
Please replace the empty ink jet cartridge in the printer.	Veuillez remplacer la cartouche d'encre vide de l'imprimante.
She showed up at the party looking like a million dollars.	Elle fit son apparition à la soirée en ayant l'air exquise.
Some students seem to have forgotten to do their homework.	Certains étudiants semblent avoir oublié de faire leurs devoirs.
The company's insolvency forced it to file for bankruptcy.	L'insolvabilité de la société l'a forcée à déposer son bilan.
The guards found a hacksaw blade in the prisoner's pocket.	Les gardiens trouvèrent une lame de scie à métaux dans la poche du prisonnier.
The moral of the story is that you can't trust the system.	La morale de l'histoire est qu'on ne peut pas faire confiance au système.
The school rules require students to wear school uniforms.	Le règlement de l'école prévoit le port d'un uniforme par les élèves.
There's a man with a gun in his hand standing at the door.	Il y a un homme avec une arme à la main qui se tient à la porte.
This software package has a suggested retail price of $99.	Cet ensemble de logiciels a un prix au détail conseillé de quatre-vingt-dix-neuf dollars.
Tom couldn't find the words to express how he was feeling.	Tom n'arrivait pas à trouver les mots pour exprimer ce qu'il ressentait.
Tom put new pedals on the bicycle that he rides to school.	Tom a mis de nouvelles pédales sur le vélo avec lequel il va à l'école.
Tom was stuck in a traffic jam for what seemed like hours.	Tom était coincé dans un embouteillage pendant ce qui semblait être des heures.
We have to learn all the songs before the end of the week.	Nous devons apprendre toutes les chansons avant la fin de la semaine.
What I told you about him also holds true for his brother.	Ce que je t'ai dit à son sujet est aussi vrai pour son frère.
When I arrived at the station, the train had already left.	Quand je suis arrivé à la gare, le train était déjà parti.
Why in the world are you doing that at this time of night?	Pourquoi diable est-ce que tu fais ça à cette heure de la nuit ?
You may call him a fool, but you cannot call him a coward.	Tu peux le traiter d'imbécile mais pas de poule mouillée.
You'll be able to take many pictures with your new camera.	Tu pourras prendre beaucoup de photos avec ton nouvel appareil.
A lot of people are waiting to see what is going to happen.	Beaucoup de gens attendent de voir ce qui va arriver.
Adobe and Apple both have top-notch video editing programs.	Adobe et Apple ont tous deux des logiciels d'édition vidéo de toute première catégorie.
Berlin has the best air quality of any large European city.	Berlin arrive en tête des grandes villes européennes pour la qualité de l'air.
Children are often very good at learning foreign languages.	Les enfants sont souvent très doués pour apprendre des langues étrangères.
Do you want me to talk to Tom about what's going to happen?	Voulez-vous que je parle à Tom de ce qu'il va se passer ?
Had I known your telephone number, I would have called you.	Si j'avais su votre numéro de téléphone, je vous aurai appelé.
He has given up running in order to focus on the long jump.	Il a arrêté la course à pied pour se concentrer sur le saut en longueur.
He set out to do something that had never been done before.	Il entreprit de faire quelque chose qui n'avait jamais été fait auparavant.
His chances for making a great deal of money are excellent.	Ses chances de faire beaucoup d'argent sont excellentes.
How much time does the average teenager watch TV every day?	Combien de temps l'adolescent moyen passe-t-il à regarder la télé quotidiennement ?
I can get to work faster by walking than by taking the car.	Je peux me rendre au travail plus rapidement en marchant qu'en prenant la voiture.
I can't do that with you because I don't have enough money.	Je ne peux pas faire cela avec vous car je n'ai pas assez d'argent.
I don't know why I thought it would be different this time.	Je ne sais pas pourquoi j'ai cru que ce serait différent, cette fois.
I have been wearing this overcoat for more than five years.	J'ai porté ce pardessus pendant plus de cinq ans.
I liked walking alone on the deserted beach in the evening.	J'appréciais de marcher seul sur la plage désertée, dans la soirée.
I slept a little during lunch break because I was so tired.	J'ai un peu dormi pendant la pause déjeuner parce que j'étais trop fatigué.
I want that more than I've ever wanted anything in my life.	Je veux cela plus que jamais je n'ai voulu quoi que ce soit dans ma vie.
I wonder if there'll be more snow this year than last year.	Je me demande s'il y aura davantage de neige cette année que l'année passée.
I'm a deeply religious man and believe in life after death.	Je suis un homme profondément croyant et je crois en une vie après la mort.
I've been trying to make an effort to come here more often.	J'essaie de faire l'effort de venir plus souvent.
If it were not for his idleness, he would be a nice fellow.	Si ce n'était pour son oisiveté, il ferait un chouette compagnon.
If you keep breaking the club rules, you'll get thrown out.	Si vous continuez à enfreindre les règles du club, vous en serez exclu.
It is difficult for foreign students to speak English well.	C'est difficile pour les étudiants étrangers de parler anglais correctement.
It would be a pity if you let this opportunity pass you by.	Il serait dommage que tu laisses cette opportunité t'échapper.
Leaving something unfinished is the worst thing you can do.	Laisser quelque chose inachevé est la pire chose que tu puisses faire.
Most souvenir shops are filled with worthless knick-knacks.	La plupart des magasins de souvenirs sont emplis de colifichets sans valeur.
My small bladder has me constantly running to the bathroom.	Ma petite vessie me fait courir constamment aux toilettes.
Old people have difficulty understanding modern technology.	Les personnes âgées ont des difficultés à comprendre la technologie moderne.
Plastic kills countless seabirds and sea turtles each year.	Le plastique tue chaque année un nombre incalculable d'oiseaux marins et de tortues de mer.
She could always call her parents when she was in a crunch.	Elle pouvait toujours appeler ses parents, quand elle se trouvait dans une situation critique.
She said that she would follow him no matter where he went.	Elle a déclaré qu'elle le suivrait où qu'il aille.
She stole a lot of money from him, so now she is in prison.	Elle lui a dérobé beaucoup d'argent, alors maintenant, elle est en prison.
Some indigenous tribes in Brazil are threatened by loggers.	Certaines tribus indigènes du Brésil sont menacées par les bûcherons.
Tell me the reason why you want to live in the countryside.	Dites-moi la raison pour laquelle vous voulez vivre à la campagne.
The door opened and there she was, standing in the doorway.	La porte s'ouvrit et elle était là, se tenant dans l'encadrement de la porte.
The plane had already taken off when I reached the airport.	L'avion avait déjà décollé quand je suis arrivé à l'aéroport.
The teacher caught the student cheating on the examination.	L'enseignant a surpris l'étudiant en train de tricher pendant l'examen.
They should go, regardless of whether they're men or women.	Ils devraient y aller, sans considération pour leur genre.
This looks longer than that, but it is an optical illusion.	Ça semble plus long que ça, mais c'est une illusion d'optique.
Tom doesn't want you to share this information with anyone.	Tom ne veut pas que vous partagiez cette information avec qui que ce soit.
Tom said he saw something suspicious the morning Mary died.	Thomas disait qu'il avait vu quelque chose de suspect, le matin où Marie est morte.
We did not evolve from monkeys. We share a common ancestor.	Nous n'avons pas évolué à partir des singes. Nous partageons un ancêtre commun.
What she lacks in charisma she makes up for with hard work.	Ce qu'elle manque en charisme elle le compense par sa force de travail.
Whenever my uncle comes, he brings some nice things for us.	À chaque fois que mon oncle vient, il nous apporte de bonnes choses.
Will you please explain the meaning of this sentence to me?	Pourriez-vous m'expliquer le sens de cette phrase ?
You disobeyed a direct order and must pay the consequences.	Tu as désobéi à un ordre direct et tu dois en payer les conséquences.
You should assume that Tom already knows about the problem.	Tu devrais supposer que Tom est déjà au courant du problème.
A bird is known by its song and a man by his way of talking.	Un oiseau est reconnu à son chant, et un homme à ce qu'il dit.
All the doctor's efforts were in vain and the man soon died.	Tous les efforts du docteur furent vains et l'homme mourut rapidement.
Be sure to look over your paper again before you hand it in.	Assure-toi de revoir ta copie avant de la remettre.
Do you think it'll be easy to find the kind of job you want?	Pensez-vous qu'il sera facile de trouver le genre de travail que vous voulez?
Each one of the world's great successes was a failure first.	Chacun des grands succès dans le monde fut d'abord un échec.
He asked me questions similar to those asked by many others.	Il m'a posé les mêmes questions que beaucoup d'autres gens.
He ordered the book from the publisher in the United States.	Il commanda son livre à l'éditeur aux États-Unis.
How could you just walk out the door without saying goodbye?	Comment as-tu pu sortir sans même dire au revoir ?
I couldn't help but feel disappointed when I heard the news.	Je ne pus m'empêcher de me sentir déçu lorsque j'entendis les nouvelles.
I had a hard time trying to persuade him to cancel the trip.	J'ai eu des difficultés à essayer de le persuader d'annuler le voyage.
I hear Tom was the one who taught you how to play the cello.	J'ai entendu que c'est Tom qui t'a appris à jouer du violoncelle.
I ran into an old friend of mine at the party the other day.	Je suis tombé sur un de mes vieux amis à la fête de l'autre jour.
I think it's time for me to reconsider how I've been living.	Je pense qu'il est temps que je remette en cause la manière dont j'ai vécu.
I was wondering when you were going to tell me you loved me.	Je me demandais quand vous alliez me dire que vous m'aimiez.
I'll ask him where he is planning to go during the vacation.	Je lui demanderai où il prévoit d'aller pendant les vacances.
If he'd been there, he'd have told you to mind your manners.	S'il avait été là, il t'aurait dit de te tenir.
If you don't bother the bees, they're unlikely to sting you.	Si tu n'embêtes pas les abeilles, il est peu probable qu'elles te piquent.
It is strange that you should know nothing about the matter.	C'est étrange que tu ne saches rien à ce sujet.
It was such a hard test that we did not have time to finish.	C'était un test si difficile que nous n'avons pas eu le temps de finir.
It's obvious that he's not used to living on a tight budget.	Il est évident qu'il n'est pas habitué à vivre d'un budget serré.
Looking at your Facebook friends' photos is a waste of time.	Regarder les photos de tes amis Face-de-bouc est une perte de temps.
No matter how hard you may try, you won't succeed so easily.	Vous aurez beau essayer, vous ne réussirez pas aussi facilement.
Please remain seated until the aircraft arrives at the gate.	Veuillez rester assis jusqu'à ce que l'appareil atteigne la porte.
She advised him to talk about his life in the United States.	Elle lui conseilla de parler de sa vie aux États-Unis d'Amérique.
She pooh-poohed the idea with a disdainful wave of her hand.	Elle rejeta l'idée d'un mouvement de main dédaigneux.
Sometimes I wonder whether or not I made the right decision.	Parfois, je me demande si j'ai pris ou pas la bonne décision.
That's something we should probably take care of right away.	C'est quelque chose dont nous devrions probablement nous occuper tout de suite.
The first thing you have to take into consideration is time.	La première chose que tu dois prendre en considération est le temps.
The power of his physique is evident to all who look at him.	La puissance de son physique saute aux yeux de tous ceux qui le regardent.
The water stopped running because the hose has a kink in it.	L'eau s'est arrêtée de couler car le tuyau s'est entortillé.
They established a Japanese language class for the refugees.	Ils créèrent une classe de langue japonaise pour les réfugiés.
To determine its origin, we must go back to the middle ages.	Pour déterminer son origine, nous devons remonter au Moyen-Âge.
Tom doesn't know the difference between a mule and a donkey.	Tom ne sait pas la différence entre une mule et un âne.
Tom told Mary that she was the fattest woman he'd ever seen.	Tom a dit à Mary qu'elle était la femme la plus grosse qu'il n'avait jamais vu.
We'll go to Hong Kong first, and then we'll go to Singapore.	Nous irons d'abord à Hong Kong, et ensuite à Singapour.
When you make the bed, don't forget to fluff up the pillows.	Lorsque vous faites le lit, n'oubliez pas de regonfler les oreillers.
Without your encouragement, I would have given up this plan.	Sans vos encouragements, j'aurais laissé tomber ce projet.
You forgot to lock your office door yesterday when you left.	Tu as oublié, hier, de verrouiller la porte de ton bureau, lorsque tu es parti.
You must turn in your old license in order to get a new one.	Il faut rendre sa vieille licence pour en obtenir une nouvelle.
You're the only person I know who is qualified for this job.	Vous êtes la seule personne que je connaisse qui soit qualifiée pour ce poste.
A person with common sense would never do this kind of thing.	Une personne de bon sens ne ferait jamais une telle chose.
Are you aware that Okinawa is closer to China than to Honshu?	Sais-tu qu'Okinawa est plus près de la Chine que de Honshu ?
Company regulations mandate that workers wear safety glasses.	Les règles de l'entreprise exigent que les employés portent des lunettes de sécurité.
Do you spend more time with your friends or with your family?	Passez-vous davantage de temps avec vos amies ou avec votre famille ?
Everyone looks the same, except the one standing on his head.	Ils se ressemblent tous, à l'exception de celui qu'il a sur la tête.
He bought the land for the purpose of building a house on it.	Il a acheté le terrain dans le but de s'y construire une maison.
He's an accredited representative of the Canadian government.	C'est un représentant accrédité du gouvernement canadien.
I am sorry that I haven't written to you in such a long time.	Je suis désolée de ne pas vous avoir écrit pendant aussi longtemps.
I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureuse que tu sois venu nous rendre visite.
I can't tell you how happy I am that you've come to visit us.	Je ne peux pas vous dire combien je suis heureuse que vous soyez venus nous rendre visite.
I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire à quel point je suis heureux que vous soyez venue nous rendre visite.
I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureuse que vous soyez venues nous rendre visite.
I don't think that we should be talking about this right now.	Je ne pense pas que nous devrions en parler maintenant.
